variant,run,workload,sample,microseconds
native,1,manager_all,1,0.5730858095921576
native,1,manager_all,2,0.5737612908706069
native,1,manager_all,3,0.5725228413939476
native,1,manager_all,4,0.5773973697796464
native,1,manager_all,5,0.5735356593504548
native,1,manager_all,6,0.5735809402540326
native,1,manager_all,7,0.5764331296086311
native,1,ordered_in32_values,1,9.274480638559908
native,1,ordered_in32_values,2,9.175737730693072
native,1,ordered_in32_values,3,9.165602549910545
native,1,ordered_in32_values,4,9.197475749533623
native,1,ordered_in32_values,5,9.231441409792751
native,1,ordered_in32_values,6,9.244801590684801
native,1,ordered_in32_values,7,9.130010020453483
native,1,point_filter,1,3.257643450051546
native,1,point_filter,2,3.2759327488020062
native,1,point_filter,3,3.26775647001341
native,1,point_filter,4,3.2681619515642524
native,1,point_filter,5,3.2791248778812587
native,1,point_filter,6,3.2916855486109853
native,1,point_filter,7,3.291367539204657
native,1,values_list,1,3.849828990641981
native,1,values_list,2,3.8837836193852127
native,1,values_list,3,3.787003019824624
native,1,values_list,4,3.7289123283699155
native,1,values_list,5,3.718432900495827
native,1,values_list,6,3.744394921232015
native,1,values_list,7,3.776524409186095
native,2,manager_all,1,0.5691029713489115
native,2,manager_all,2,0.5675602494738996
native,2,manager_all,3,0.5690654017962515
native,2,manager_all,4,0.568567959126085
native,2,manager_all,5,0.5684995278716087
native,2,manager_all,6,0.5690601910464466
native,2,manager_all,7,0.5689719202928245
native,2,ordered_in32_values,1,9.03369199950248
native,2,ordered_in32_values,2,9.045296048279852
native,2,ordered_in32_values,3,9.06947148963809
native,2,ordered_in32_values,4,9.067037890199572
native,2,ordered_in32_values,5,8.961684869136661
native,2,ordered_in32_values,6,8.868284369818866
native,2,ordered_in32_values,7,8.940274070482701
native,2,point_filter,1,3.2342512998729944
native,2,point_filter,2,3.237189850769937
native,2,point_filter,3,3.2685246295295656
native,2,point_filter,4,3.296409589238465
native,2,point_filter,5,3.26447457075119
native,2,point_filter,6,3.08207900961861
native,2,point_filter,7,3.1152831204235554
native,2,values_list,1,3.7132855714298785
native,2,values_list,2,3.7413327186368406
native,2,values_list,3,3.749601871240884
native,2,values_list,4,3.7324696499854326
native,2,values_list,5,3.667673170566559
native,2,values_list,6,3.673213350120932
native,2,values_list,7,3.6784530710428953
stock,1,manager_all,1,1.060877840500325
stock,1,manager_all,2,1.053917279932648
stock,1,manager_all,3,1.0588192497380078
stock,1,manager_all,4,1.0631275991909206
stock,1,manager_all,5,1.0659938282333314
stock,1,manager_all,6,1.0579612292349339
stock,1,manager_all,7,1.044893499929458
stock,1,ordered_in32_values,1,67.45676922844723
stock,1,ordered_in32_values,2,67.30959268985316
stock,1,ordered_in32_values,3,67.30243243975565
stock,1,ordered_in32_values,4,67.45574188884348
stock,1,ordered_in32_values,5,67.68037375994027
stock,1,ordered_in32_values,6,67.71474668988958
stock,1,ordered_in32_values,7,67.60241708019748
stock,1,point_filter,1,24.452899780590087
stock,1,point_filter,2,24.379725139588118
stock,1,point_filter,3,24.47871000971645
stock,1,point_filter,4,24.284924790263176
stock,1,point_filter,5,24.434532830491662
stock,1,point_filter,6,24.443377661518753
stock,1,point_filter,7,24.29532235953957
stock,1,values_list,1,16.336130381096154
stock,1,values_list,2,16.227862248197198
stock,1,values_list,3,16.303275220561773
stock,1,values_list,4,16.281075428705662
stock,1,values_list,5,16.26260187011212
stock,1,values_list,6,16.26638893969357
stock,1,values_list,7,16.332045348826796
stock,2,manager_all,1,1.064250918570906
stock,2,manager_all,2,1.0581872495822608
stock,2,manager_all,3,1.0593301197513938
stock,2,manager_all,4,1.0640510497614741
stock,2,manager_all,5,1.0597867798060179
stock,2,manager_all,6,1.0597807704471052
stock,2,manager_all,7,1.0574721987359226
stock,2,ordered_in32_values,1,67.15647781034932
stock,2,ordered_in32_values,2,67.19699777895585
stock,2,ordered_in32_values,3,67.4707883503288
stock,2,ordered_in32_values,4,67.30810958892107
stock,2,ordered_in32_values,5,67.4441072717309
stock,2,ordered_in32_values,6,67.54870034987107
stock,2,ordered_in32_values,7,67.51868798164651
stock,2,point_filter,1,24.225041999015957
stock,2,point_filter,2,24.20415348140523
stock,2,point_filter,3,24.09876659978181
stock,2,point_filter,4,23.97221869090572
stock,2,point_filter,5,24.01193322846666
stock,2,point_filter,6,24.21553901862353
stock,2,point_filter,7,24.304438799154013
stock,2,values_list,1,16.943516877945513
stock,2,values_list,2,16.77251707063988
stock,2,values_list,3,17.173250000923872
stock,2,values_list,4,17.170565829146653
stock,2,values_list,5,17.176176740322262
stock,2,values_list,6,16.905065630562603
stock,2,values_list,7,17.102720071561635
