repeat,variant,workload,operations,wall_us_per_operation,worker_cpu_us_per_operation,postgres_cpu_us_per_operation
1,native,orm_get,36700,136.3451978474114,88.09457288828338,56.1307901907357
1,native,orm_in32,24500,204.80174465306123,118.63932926530612,95.10204081632652
1,native,orm_update,18100,277.4951354143646,87.07520325966851,148.61878453038673
1,stock,orm_get,19700,254.52777888324874,205.9512365482233,57.36040609137055
1,stock,orm_in32,13400,374.69601917910455,286.94121694029855,97.76119402985076
1,stock,orm_update,14300,350.26847027972025,157.34063055944054,151.04895104895104
2,native,orm_get,36200,138.4160702762431,89.36656535911602,57.18232044198894
2,native,orm_in32,25400,197.54894937007873,114.80403208661417,90.94488188976379
2,native,orm_update,17800,281.1589003932584,88.59347292134832,150.561797752809
2,stock,orm_get,19300,259.937099119171,209.98259238341967,59.585492227979266
2,stock,orm_in32,14000,359.46306892857143,277.52036207142856,90.71428571428571
2,stock,orm_update,14500,345.5142551724138,154.10986206896553,149.6551724137931
3,native,orm_get,36400,137.4362434065934,89.04930642857143,56.59340659340659
3,native,orm_in32,25200,198.42600694444442,115.8414478174603,90.47619047619047
3,native,orm_update,17900,279.50836899441344,88.6382748603352,149.16201117318437
3,stock,orm_get,19900,252.17052592964822,204.56769859296483,56.28140703517589
3,stock,orm_in32,14000,358.7772075,277.25228635714285,89.28571428571429
3,stock,orm_update,14500,346.99586296551723,154.92276213793104,151.03448275862067
