repeat,variant,workload,operations,warmup,wall_us_per_operation,worker_cpu_us_per_operation,worker_user_us_per_operation,worker_system_us_per_operation,voluntary_context_switches_per_operation,involuntary_context_switches_per_operation,minor_faults_per_operation,major_faults_per_operation,result_type,result_size
1,native,orm_get,35900,500,139.28602314763233,89.94817582172702,74.0733426183844,15.875069637883009,0.9999164345403899,0.0011977715877437326,0.0,0.0,tuple,2
1,native,orm_in32,25800,500,194.29980100775197,113.08318046511629,94.80085271317829,18.282596899224806,0.9999612403100775,0.001317829457364341,7.751937984496124e-05,0.0,list,32
1,native,orm_update,17700,500,282.6149908474576,87.97826621468927,72.35892655367232,15.619830508474577,1.0,0.0021468926553672315,0.0,0.0,int,
1,native,raw_get,43900,500,113.98715535307518,65.5853678359909,50.61154897494306,14.973986332574032,0.9999316628701594,0.000888382687927107,0.0,0.0,tuple,2
1,native,raw_in32,30900,500,162.06245883495146,80.39869889967638,66.11372168284791,14.285242718446602,0.999967637540453,0.0011003236245954692,0.0,0.0,list,32
1,native,raw_update,19300,500,259.2719790673575,65.0823889119171,51.601088082901555,13.481761658031088,1.0,0.0011917098445595855,0.0,0.0,int,
1,stock,orm_get,18800,500,266.2179036170213,212.38802755319148,194.4876595744681,17.900797872340423,0.9999468085106383,0.002340425531914894,5.319148936170213e-05,0.0,tuple,2
1,stock,orm_in32,14100,500,356.93465085106385,275.3614086524822,258.16914893617025,17.192765957446806,0.9999290780141844,0.002624113475177305,0.0003546099290780142,0.0,list,32
1,stock,orm_update,13900,500,360.67170827338134,162.81522848920864,146.3589928057554,16.456834532374096,1.0,0.002517985611510791,0.0,0.0,int,
1,stock,raw_get,43300,500,115.70275588914551,66.73860321016167,51.33071593533487,15.408083140877597,0.9998845265588915,0.0016166281755196305,0.0,0.0,tuple,2
1,stock,raw_in32,30800,500,162.45078363636364,80.36146886363636,65.77142857142857,14.590324675324673,1.0,0.0019155844155844155,0.0,0.0,list,32
