variant,stage,group,processes,rss_kb,pss_kb,uss_kb,private_clean_kb,private_dirty_kb,shared_clean_kb,shared_dirty_kb,minor_faults,major_faults
stock,forked,all,17,595540,52180,18552,4020,14532,99308,477680,13230,0
stock,forked,master,1,47060,9536,6644,4020,2624,12268,28148,8766,0
stock,forked,workers,16,548480,42644,11908,0,11908,87040,449532,4464,0
stock,warmed,all,17,967824,507159,480668,2172,478496,282176,204980,130018,9
stock,warmed,master,1,47060,22023,19912,2172,17740,14116,13032,8766,0
stock,warmed,workers,16,920764,485136,460756,0,460756,268060,191948,121252,9
stock,after_equal_work,all,17,1698620,1238105,1211636,2172,1209464,282176,204808,312754,9
stock,after_equal_work,master,1,47060,22044,19936,2172,17764,14116,13008,8766,0
stock,after_equal_work,workers,16,1651560,1216061,1191700,0,1191700,268060,191800,303988,9
stock,settled,all,17,1698620,1238105,1211636,2172,1209464,282176,204808,312754,9
stock,settled,master,1,47060,22044,19936,2172,17764,14116,13008,8766,0
stock,settled,workers,16,1651560,1216061,1191700,0,1191700,268060,191800,303988,9
native,forked,all,17,657236,56613,19432,5316,14116,100344,537460,14032,0
native,forked,master,1,53460,11079,7916,5316,2600,13880,31664,9648,0
native,forked,workers,16,603776,45534,11516,0,11516,86464,505796,4384,0
native,warmed,all,17,1055728,510600,479108,2560,476548,311916,264704,130830,4
native,warmed,master,1,53460,22622,20216,2488,17728,16708,16536,9648,0
native,warmed,workers,16,1002268,487978,458892,72,458820,295208,248168,121182,4
native,after_equal_work,all,17,1786972,1240884,1209328,2560,1206768,312940,264704,313401,4
native,after_equal_work,master,1,53460,22622,20216,2488,17728,16708,16536,9648,0
native,after_equal_work,workers,16,1733512,1218262,1189112,72,1189040,296232,248168,303753,4
native,settled,all,17,1786972,1240884,1209328,2560,1206768,312940,264704,313401,4
native,settled,master,1,53460,22622,20216,2488,17728,16708,16536,9648,0
native,settled,workers,16,1733512,1218262,1189112,72,1189040,296232,248168,303753,4
