repeat,variant,fork_mode,stage,role,process_index,threads,rss_kb,pss_kb,uss_kb,proportional_shared_kb,pss_anon_kb,pss_file_kb,private_clean_kb,private_dirty_kb,shared_clean_kb,shared_dirty_kb,minor_faults,major_faults
1,stock,lazy,forked,master,0,1,17512,6162,5360,802,2627,1656,1016,4344,10356,1796,1992,0
1,stock,lazy,forked,worker,1,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,2,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,3,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,4,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,5,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,6,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,7,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,8,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,9,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,10,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,11,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,12,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,13,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,14,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,15,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,forked,worker,16,1,42108,27930,27168,762,27259,660,0,27168,13264,1676,7297,0
1,stock,lazy,warmed,master,0,1,17512,6159,5400,759,2679,1600,1000,4400,10372,1740,1992,0
