repeat,variant,fork_mode,stage,group,processes,rss_kb,pss_kb,uss_kb,proportional_shared_kb,pss_anon_kb,pss_file_kb,private_clean_kb,private_dirty_kb,shared_clean_kb,shared_dirty_kb,minor_faults,major_faults
1,stock,lazy,forked,all,17,691240,453042,440048,12994,438771,12216,1016,439032,222580,28612,118744,0
1,stock,lazy,forked,master,1,17512,6162,5360,802,2627,1656,1016,4344,10356,1796,1992,0
1,stock,lazy,forked,workers,16,673728,446880,434688,12192,436144,10560,0,434688,212224,26816,116752,0
1,stock,lazy,warmed,all,17,976644,648223,631240,16983,629847,16242,1000,630240,317744,27660,169100,5
1,stock,lazy,warmed,master,1,17512,6159,5400,759,2679,1600,1000,4400,10372,1740,1992,0
1,stock,lazy,warmed,workers,16,959132,642064,625840,16224,627168,14642,0,625840,307372,25920,167108,5
1,stock,lazy,after_equal_work,all,17,1707580,1379159,1362176,16983,1360783,16242,1000,1361176,317744,27660,351834,5
1,stock,lazy,after_equal_work,master,1,17512,6159,5400,759,2679,1600,1000,4400,10372,1740,1992,0
1,stock,lazy,after_equal_work,workers,16,1690068,1373000,1356776,16224,1358104,14642,0,1356776,307372,25920,349842,5
1,stock,lazy,settled,all,17,1707580,1379152,1362176,16976,1360783,16241,1000,1361176,317744,27660,351834,5
1,stock,lazy,settled,master,1,17512,6159,5400,759,2679,1600,1000,4400,10372,1740,1992,0
1,stock,lazy,settled,workers,16,1690068,1372993,1356776,16217,1358104,14641,0,1356776,307372,25920,349842,5
1,native,lazy,forked,all,17,798276,503525,487872,15653,487053,14400,1204,486668,270640,39764,129970,0
1,native,lazy,forked,master,1,21060,8933,8064,869,5181,1872,1204,6860,10544,2452,2897,0
1,native,lazy,forked,workers,16,777216,494592,479808,14784,481872,12528,0,479808,260096,37312,127073,0
1,native,lazy,warmed,all,17,1088808,697264,677192,20072,676318,18827,1144,676048,372940,38676,179942,0
1,native,lazy,warmed,master,1,21060,8863,8036,827,5242,1742,1112,6924,10636,2388,2897,0
1,native,lazy,warmed,workers,16,1067748,688401,669156,19245,671076,17085,32,669124,362304,36288,177045,0
1,native,lazy,after_equal_work,all,17,1818856,1427311,1407240,20071,1406366,18828,1144,1406096,372940,38676,362454,0
1,native,lazy,after_equal_work,master,1,21060,8864,8036,828,5242,1743,1112,6924,10636,2388,2897,0
1,native,lazy,after_equal_work,workers,16,1797796,1418447,1399204,19243,1401124,17085,32,1399172,362304,36288,359557,0
1,native,lazy,settled,all,17,1818856,1427306,1407240,20066,1406366,18821,1144,1406096,372940,38676,362454,0
1,native,lazy,settled,master,1,21060,8864,8036,828,5242,1743,1112,6924,10636,2388,2897,0
1,native,lazy,settled,workers,16,1797796,1418442,1399204,19238,1401124,17078,32,1399172,362304,36288,359557,0
1,stock,preload,forked,all,17,595772,52228,18452,33776,40441,9717,4124,14328,99436,477884,13186,0
1,stock,preload,forked,master,1,46908,9648,6736,2912,2387,5349,4124,2612,12012,28160,8754,0
1,stock,preload,forked,workers,16,548864,42580,11716,30864,38054,4368,0,11716,87424,449724,4432,0
1,stock,preload,warmed,all,17,973656,505899,479072,26827,487973,15802,2036,477036,288192,206392,129416,2
1,stock,preload,warmed,master,1,46908,21864,19752,2112,17515,2922,2036,17716,14100,13056,8754,0
1,stock,preload,warmed,workers,16,926748,484035,459320,24715,470458,12880,0,459320,274092,193336,120662,2
1,stock,preload,after_equal_work,all,17,1704572,1236857,1210044,26813,1218945,15795,2036,1208008,288192,206336,312158,2
1,stock,preload,after_equal_work,master,1,46908,21866,19756,2110,17519,2920,2036,17720,14100,13052,8754,0
1,stock,preload,after_equal_work,workers,16,1657664,1214991,1190288,24703,1201426,12875,0,1190288,274092,193284,303404,2
1,stock,preload,settled,all,17,1704572,1236859,1210044,26815,1218945,15796,2036,1208008,288192,206336,312158,2
1,stock,preload,settled,master,1,46908,21866,19756,2110,17519,2920,2036,17720,14100,13052,8754,0
1,stock,preload,settled,workers,16,1657664,1214993,1190288,24705,1201426,12876,0,1190288,274092,193284,303404,2
1,native,preload,forked,all,17,657876,57349,20020,37329,44157,11121,5428,14592,101144,536712,14143,0
1,native,preload,forked,master,1,53396,11271,8056,3215,2607,6753,5428,2628,13720,31620,9631,0
1,native,preload,forked,workers,16,604480,46078,11964,34114,41550,4368,0,11964,87424,505092,4512,0
1,native,preload,warmed,all,17,1059824,512273,480504,31769,492489,17659,2312,478192,316640,262680,131035,0
1,native,preload,warmed,master,1,53396,22637,20140,2497,17880,3358,2312,17828,16836,16420,9631,0
1,native,preload,warmed,workers,16,1006428,489636,460364,29272,474609,14301,0,460364,299804,246260,121404,0
1,native,preload,after_equal_work,all,17,1790960,1242450,1210616,31834,1222601,17723,2312,1208304,317664,262680,313579,0
1,native,preload,after_equal_work,master,1,53396,22638,20140,2498,17880,3358,2312,17828,16836,16420,9631,0
1,native,preload,after_equal_work,workers,16,1737564,1219812,1190476,29336,1204721,14365,0,1190476,300828,246260,303948,0
1,native,preload,settled,all,17,1790960,1242449,1210616,31833,1222601,17723,2312,1208304,317664,262680,313579,0
1,native,preload,settled,master,1,53396,22637,20140,2497,17880,3358,2312,17828,16836,16420,9631,0
1,native,preload,settled,workers,16,1737564,1219812,1190476,29336,1204721,14365,0,1190476,300828,246260,303948,0
2,native,preload,forked,all,17,657176,57335,20032,37303,44224,11039,5372,14660,100568,536576,14142,0
2,native,preload,forked,master,1,53272,11209,8004,3205,2610,6687,5372,2632,13656,31612,9646,0
2,native,preload,forked,workers,16,603904,46126,12028,34098,41614,4352,0,12028,86912,504964,4496,0
2,native,preload,warmed,all,17,1057496,512264,480600,31664,492500,17638,2420,478180,314236,262660,131067,0
2,native,preload,warmed,master,1,53272,22625,20160,2465,17868,3358,2356,17804,16672,16440,9646,0
