timestamp,repeat,variant,workers,concurrency,endpoint,duration_s,requests,rps,p50,p99,errors
2026-08-07T16:47:26Z,1,stock,1,16,plaintext,15,135699,8987.33,107.00us,129.00us,0
2026-08-07T16:47:44Z,1,stock,1,16,db,15,34506,2285.22,430.00us,501.00us,0
2026-08-07T16:48:02Z,1,stock,1,16,query20,15,2553,169.98,5.79ms,6.61ms,0
2026-08-07T16:48:21Z,1,stock,1,16,in32,15,25956,1718.98,570.00us,668.00us,0
2026-08-07T16:48:39Z,1,stock,1,16,fortunes,15,44783,2965.94,330.00us,392.00us,0
2026-08-07T16:48:57Z,1,stock,1,16,update20,15,1080,71.91,13.54ms,15.74ms,0
2026-08-07T16:49:17Z,1,native,1,16,plaintext,15,142647,9447.23,102.00us,123.00us,0
2026-08-07T16:49:35Z,1,native,1,16,db,15,51990,3443.22,284.00us,344.00us,0
2026-08-07T16:49:53Z,1,native,1,16,query20,15,4521,300.99,3.28ms,3.61ms,0
2026-08-07T16:50:11Z,1,native,1,16,in32,15,41811,2768.87,355.00us,415.00us,0
2026-08-07T16:50:30Z,1,native,1,16,fortunes,15,55089,3648.46,268.00us,317.00us,0
2026-08-07T16:50:48Z,1,native,1,16,update20,15,1552,103.33,9.45ms,11.09ms,0
2026-08-07T16:51:07Z,2,native,1,16,plaintext,15,142805,9457.82,102.00us,125.00us,0
2026-08-07T16:51:26Z,2,native,1,16,db,15,51483,3409.52,285.00us,345.00us,0
2026-08-07T16:51:44Z,2,native,1,16,query20,15,4497,299.41,3.28ms,4.09ms,0
2026-08-07T16:52:02Z,2,native,1,16,in32,15,40743,2698.25,360.00us,429.00us,0
2026-08-07T16:52:20Z,2,native,1,16,fortunes,15,54302,3596.41,270.00us,327.00us,0
2026-08-07T16:52:38Z,2,native,1,16,update20,15,1559,103.80,9.46ms,10.21ms,0
2026-08-07T16:52:58Z,2,stock,1,16,plaintext,15,133317,8829.29,110.00us,133.00us,0
2026-08-07T16:53:16Z,2,stock,1,16,db,15,34695,2297.79,430.00us,501.00us,0
2026-08-07T16:53:34Z,2,stock,1,16,query20,15,2458,163.65,5.84ms,6.93ms,0
2026-08-07T16:53:53Z,2,stock,1,16,in32,15,26303,1741.97,569.00us,642.00us,0
2026-08-07T16:54:11Z,2,stock,1,16,fortunes,15,44415,2941.53,334.00us,392.00us,0
2026-08-07T16:54:29Z,2,stock,1,16,update20,15,1093,72.77,13.44ms,15.16ms,0
2026-08-07T16:54:48Z,3,stock,1,16,plaintext,15,137016,9074.42,107.00us,127.00us,0
2026-08-07T16:55:07Z,3,stock,1,16,db,15,35012,2318.71,427.00us,487.00us,0
2026-08-07T16:55:25Z,3,stock,1,16,query20,15,2552,169.91,5.83ms,6.24ms,0
2026-08-07T16:55:43Z,3,stock,1,16,in32,15,26043,1724.71,569.00us,658.00us,0
2026-08-07T16:56:01Z,3,stock,1,16,fortunes,15,44849,2970.07,330.00us,392.00us,0
2026-08-07T16:56:19Z,3,stock,1,16,update20,15,1085,72.24,13.51ms,15.75ms,0
2026-08-07T16:56:39Z,3,native,1,16,plaintext,15,142406,9431.46,102.00us,122.00us,0
2026-08-07T16:56:57Z,3,native,1,16,db,15,51501,3410.74,286.00us,347.00us,0
2026-08-07T16:57:15Z,3,native,1,16,query20,15,4391,292.35,3.32ms,4.14ms,0
2026-08-07T16:57:34Z,3,native,1,16,in32,15,41093,2721.46,360.00us,429.00us,0
2026-08-07T16:57:52Z,3,native,1,16,fortunes,15,53887,3568.83,273.00us,331.00us,0
2026-08-07T16:58:10Z,3,native,1,16,update20,15,1527,101.66,9.58ms,12.27ms,0
2026-08-07T16:58:30Z,1,stock,16,64,plaintext,15,1679049,111195.22,128.00us,210.00us,0
2026-08-07T16:58:48Z,1,stock,16,64,db,15,365361,24196.99,642.00us,1.15ms,0
2026-08-07T16:59:06Z,1,stock,16,64,query20,15,29435,1959.78,7.96ms,10.75ms,0
2026-08-07T16:59:24Z,1,stock,16,64,in32,15,324367,21481.80,709.00us,1.08ms,0
2026-08-07T16:59:43Z,1,stock,16,64,fortunes,15,583039,38613.02,397.00us,558.00us,0
2026-08-07T17:00:01Z,1,stock,16,64,update20,15,11342,751.09,21.57ms,27.74ms,0
2026-08-07T17:00:20Z,1,native,16,64,plaintext,15,1660822,109988.79,126.00us,261.00us,0
2026-08-07T17:00:39Z,1,native,16,64,db,15,566565,37522.36,409.00us,744.00us,0
2026-08-07T17:00:57Z,1,native,16,64,query20,15,49435,3291.40,4.91ms,7.65ms,0
2026-08-07T17:01:15Z,1,native,16,64,in32,15,431164,28555.09,548.00us,1.01ms,0
2026-08-07T17:01:33Z,1,native,16,64,fortunes,15,568834,37672.99,412.00us,759.00us,0
